Mods count: 381
 
                                                          jar name                                                           | notes |                  mod id                   |                      mod name                       |          mod version           |                                                                                                                                                                                                                                                   mixin configs                                                                                                                                                                                                                                                    |              modrinth hash               | curseforge hash
CreeperOverhaul-neoforge-1.21.1-4.0.6.jar                                                                                    |       | creeperoverhaul                           | Creeper Overhaul                                    | 4.0.6                          | creeperoverhaul-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 5a07cc032df790e7d110ad3dedb7a76253ffd565 | 784066138      
    /META-INF/jars/resourceful-cosmetics-4j-1.0.3.jar                                                                        |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
Cucumber-1.21.1-8.0.15.jar                                                                                                   |       | cucumber                                  | Cucumber Library                                    | 8.0.15                         | cucumber.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | e2928961f305d0a48e43a03b0a668ee123270f69 | 4279818839     
cupboard-1.21-3.5.jar                                                                                                        |       | cupboard                                  | Cupboard mod                                        | 3.5                            | cupboard.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | e5f55c8f9d172048fe6f8b919cda1dbe3cbfbc70 | 3036562125     
curios-neoforge-9.5.1+1.21.1.jar                                                                                             |       | curios                                    | Curios API                                          | 9.5.1+1.21.1                   | curios.neoforge.mixins.json, curios.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 418fcd42e3a7844c9bdc71c9b6401fdb3894e0c4 | 933317947      
cyclopscore-1.21.1-neoforge-1.29.0-962.jar                                                                                   |       | cyclopscore                               | Cyclops Core                                        | 1.29.0                         | mixins.cyclopscore.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 88c8d319a362337c98a5fc810826aaa179c20463 | 4076237653     
deployer-0.1.1.jar                                                                                                           |       | deployer                                  | Deployer                                            | 0.1.1                          | deployer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 882789fa098eb7fbef2eacdb6b791c3721f0bb76 | 2139821738     
    /META-INF/jarjar/compat_manager-1.21.1-1.0.7.jar                                                                         |       | compat_manager                            | Compat Manager                                      | 1.0.7                          | compat_manager.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
Dimensional-Paintings-1.21.1-5.2.2.jar                                                                                       |       | dimpaintings                              | Dimensional Paintings                               | 5.2.2                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 98b9635094eda8e9b92adf32b9397af13a5d5f18 | 1252506973     
Ding-1.21-NeoForge-1.5.0.jar                                                                                                 |       | ding                                      | Ding                                                | 1.5.0                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 67be6a0f10b3fcd98ead58770e00636eb677389a | 547792726      
discerning_the_eldritch-1.4.3-1.21.jar                                                                                       |       | discerning_the_eldritch                   | Discerning The Eldritch                             | 1.4.3-1.21                     | discerning_the_eldritch.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | e9c5621f57058094c87ca601055f9ac8b892d3d9 | 2168225220     
dragonfight-1.21-4.7.jar                                                                                                     |       | dragonfight                               | dragonfight mod                                     | 4.7                            | dragonfight.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 9c4b7d0b3568c9cf27668264f0a4d62cd0e002f2 | 3922002850     
dummmmmmy-1.21-2.0.12-neoforge.jar                                                                                           |       | dummmmmmy                                 | MmmMmmMmmMmm                                        | 1.21-2.0.12                    | dummmmmmy-common.mixins.json, dummmmmmy.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 0e69c2a8e4e51df42e45b2d6deb3a855bdf8dce6 | 2607034126     
durabilitytooltip-1.1.6-neoforge-mc1.21.jar                                                                                  |       | durabilitytooltip                         | Durability Tooltip                                  | 1.1.6                          | durabilitytooltip.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 59a567402d894b46d6abe45831f39dcad5c93342 | 953768137      
dysoncubeproject-1.0.3.jar                                                                                                   |       | dysoncubeproject                          | Dyson Cube Project                                  | 1.0.3                          | dysoncubeproject.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | b35c63c101ba3e5f68ac043b19bd9f8e9124729e | 4143927001     
eccentrictome-1.21.1-1.2.0.jar                                                                                               |       | eccentrictome                             | Eccentric Tome                                      | 1.21.1-1.2.0                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 9344ab666080747af9f5d8de0644e5815ca15866 | 1683802829     
eidolon_repraised-1.21.1-0.5.0.1.jar                                                                                         |       | eidolon_repraised                         | Eidolon:Repraised                                   | 0.5.0.1                        | eidolon_repraised.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 64afe162bcddc78d6ac9ecc1fb5b2e576d209f65 | 2856654829     
elytraslot-neoforge-9.0.2+1.21.1.jar                                                                                         |       | elytraslot                                | Elytra Slot                                         | 9.0.2+1.21.1                   | elytraslot-integrations.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 8ac6cf959fe66399aa7e86b6e6f933e07d155b7e | 1233383863     
emi-1.1.22+1.21.1+neoforge.jar                                                                                               |       | emi                                       | EMI                                                 | 1.1.22+1.21.1+neoforge         | emi.mixins.json, emi-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | cbbd038194cd63249db185c53b1d50a1767f80a3 | 1652373382     
emi_create_schematics-1.1.0.jar                                                                                              |       | emi_create_schematics                     | Create: EMI Schematics                              | 1.1.0                          | emi_create_schematics.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | a34c4df9c1a39c553ac7cef28bb78132e4185cb6 | 4076377780     
emi_enchanting-0.1.2+1.21+neoforge.jar                                                                                       |       | emi_enchanting                            | EMI Enchanting                                      | 0.1.2+1.21+neoforge            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 02ad74769ffcec259fd9bb14a1760593f6182b5c | 3503819062     
emi_loot-0.7.9+1.21+neoforge.jar                                                                                             |       | emi_loot                                  | EMI Loot                                            | 0.7.9+1.21+neoforge            | emi_loot.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | bd0326eeda721c87a29efd78f9a52f46d572392c | 2390371856     
emixx-neoforge-1.2.3.jar                                                                                                     |       | emixx                                     | EMI++                                               | 1.2.3                          | emixx-common.mixins.json, emixx.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 5bfd6ca144cd6cf72c6df9a9ab400403ca774e79 | 1679885704     
enchdesc-neoforge-1.21.1-21.1.9.jar                                                                                          |       | enchdesc                                  | EnchantmentDescriptions                             | 21.1.9                         | enchdesc.neoforge.mixins.json, enchdesc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | e4fa515c5deab3165f250f2a1297ac836d496064 | 53663144       
enderio-8.2.6-beta.jar                                                                                                       |       | enderio                                   | Ender IO                                            | 8.2.6-beta                     | enderio.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | c607655f5b7d15a98814ac5d89b853bf73f9736f | 3109439815     
    /META-INF/jarjar/com.enderio.endercore-8.2.6-beta.jar                                                                    |       | endercore                                 | Ender Core                                          | 8.2.6-beta                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/com.enderio.enderio-modded-conduits-8.2.6-beta.jar                                                      |       | enderio_modded_conduits                   | Ender IO - Modded Conduits                          | 8.2.6-beta                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/GraphLib3-3.0.5.jar                                                                                     |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
endermanoverhaul-neoforge-1.21.1-2.0.3.jar                                                                                   |       | endermanoverhaul                          | Enderman Overhaul                                   | 2.0.3                          | endermanoverhaul.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | f71aa503738f2e23a8d939b7ea9f96f2fe203f11 | 1585337905     
enderscape-neoforge-1.0.9+mc1.21.1.jar                                                                                       |       | enderscape                                | Enderscape                                          | 1.0.9                          | enderscape.mixins.json, enderscape.client.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 5d45e8282989817ee04682620c9351c76dc62308 | 478177589      
EnderStorage-1.21.1-2.13.0.191.jar                                                                                           |       | enderstorage                              | EnderStorage                                        | 2.13.0.191                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 5b5fc717242a9eb2d8b4a5e57ea1a38446722864 | 3059085441     
endrem-neoforge-1.21.X-6.0.2.jar                                                                                             |       | endrem                                    | End Remastered                                      | 6.0.2                          | endrem.mixins.json, endrem.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | bfba2c654f3df8cc7d6006056eefbf2b9070dcd4 | 1197693341     
ends_delight-2.5.1+neoforge.1.21.1.jar                                                                                       |       | ends_delight                              | End's Delight                                       | 2.5.1+neoforge.1.21.1          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 22b63e1c852fbbedb9f7add64990fd9f8eca0787 | 3283171823     
engineeredcompatibility-4.3.0.jar                                                                                            |       | engineeredcompatibility                   | Engineered Compatibility                            | 4.3.0                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 70df65d3bfc62f9ca1f851193544226f0eb9b8cb | 495652954      
entangled-1.3.21-neoforge-mc1.21.jar                                                                                         |       | entangled                                 | Entangled                                           | 1.3.21                         | entangled.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 72d63d64ee774b89302e0d6b220757ba11b6ec4f | 388147335      
entityculling-neoforge-1.10.1-mc1.21.1.jar                                                                                   |       | entityculling                             | EntityCulling                                       | 1.10.1                         | entityculling.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 68759da313caf8990bcd5d961bc691fa85fa3f0e | 3605367435     
    /META-INF/jars/TRansition-1.0.17-1.21.1-neoforge-SNAPSHOT.jar                                                            |       | transition                                | TRansition                                          | 1.0.17                         | transition.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
    /META-INF/jars/TRender-1.0.12-1.21.1-neoforge-SNAPSHOT.jar                                                               |       | trender                                   | TRender                                             | 1.0.12                         | trender.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
Evolved Mekanism-1.21.1-1.2.1-fix3.jar                                                                                       |       | evolvedmekanism                           | Evolved Mekanism                                    | 1.2.1-fix3                     | evolvedmekanism.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 1747c29ba5889d6102e83df42d9f8c7f692dc18f | 1277111942     
ExplorersCompass-1.21.1-3.4.0-neoforge.jar                                                                                   |       | explorerscompass                          | Explorer's Compass                                  | 1.21.1-3.4.0-neoforge          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 9f62af344988a6e2d855b113e61cf0e1611c7e0f | 2243555533     
explosiveenhancement-neoforge-1.21.1-1.1.2.jar                                                                               |       | explosiveenhancement                      | Explosive Enhancement                               | 1.1.2                          | explosiveenhancement.neoforge.mixins.json, explosiveenhancement.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                        | fee0be3ffe494189733ceaeb7163a38b03098ea5 | 706371018      
ExtendedAE-1.21-2.2.31-neoforge.jar                                                                                          |       | extendedae                                | ExtendedAE                                          | 1.21-2.2.31-neoforge           | mixins.extendedae.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 8f5f84f922aec09bf77f67f525580aa61935c649 | 3299462677     
    /META-INF/jarjar/ae2wtlib_api-19.2.0.jar                                                                                 |       | ae2wtlib_api                              | AE2WTLib API                                        | 19.2.0                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
ExtendedCrafting-1.21.1-7.0.8.jar                                                                                            |       | extendedcrafting                          | Extended Crafting                                   | 7.0.8                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | cd6c70ecdbd8d1ce127a89413b5f1f167ab08ff8 | 98033386       
extra-mod-integrations-all-neoforge-1.0.3+1.21.1.jar                                                                         |       | extra_mod_integrations                    | Extra Mod Integrations                              | 1.0.3+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 70429571ccf7faa4c1811092739fb7d645829eef | 1358887740     
    /META-INF/jarjar/com.kneelawk.extra-mod-integrations.extra-mod-integrations-actually-additions-neoforge-1.0.3+1.21.1.jar |       | extra_mod_integrations_actually_additions | ExMI Actually Additions                             | 1.0.3+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/com.kneelawk.extra-mod-integrations.extra-mod-integrations-chipped-neoforge-1.0.3+1.21.1.jar            |       | extra_mod_integrations_chipped            | ExMI Chipped                                        | 1.0.3+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/com.kneelawk.extra-mod-integrations.extra-mod-integrations-core-neoforge-1.0.3+1.21.1.jar               |       | extra_mod_integrations_core               | Extra Mod Integrations Core                         | 1.0.3+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/com.kneelawk.extra-mod-integrations.extra-mod-integrations-farmers-delight-neoforge-1.0.3+1.21.1.jar    |       | extra_mod_integrations_farmers_delight    | ExMI Farmer's Delight                               | 1.0.3+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/com.kneelawk.extra-mod-integrations.extra-mod-integrations-isns-neoforge-1.0.3+1.21.1.jar               |       | extra_mod_integrations_irons_spellbooks   | ExMI Iron's Spells 'n Spellbooks                    | 1.0.3+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/com.kneelawk.extra-mod-integrations.extra-mod-integrations-pneumaticcraft-neoforge-1.0.3+1.21.1.jar     |       | extra_mod_integrations_pneumaticcraft     | ExMI PneumaticCraft                                 | 1.0.3+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/com.kneelawk.extra-mod-integrations.extra-mod-integrations-rechiseled-neoforge-1.0.3+1.21.1.jar         |       | extra_mod_integrations_rechiseled         | ExMI Rechiseled                                     | 1.0.3+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/com.kneelawk.extra-mod-integrations.extra-mod-integrations-reliquary-neoforge-1.0.3+1.21.1.jar          |       | extra_mod_integrations_reliquary          | ExMI Reliquary                                      | 1.0.3+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
extra_gauges-2.1.1.jar                                                                                                       |       | extra_gauges                              | Create: Extra Gauges                                | 2.1.1                          | extra_gauges.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 06ef3ff2d9a58b9d5009688a317b960d98fc96a5 | 867554855      
    /META-INF/jarjar/exp4j-0.4.8.jar                                                                                         |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
